,Miltal,Modellår,Biltyp,Drivning,Hästkrafter,Färg,Datum i trafik,Märke,Modell,Pris,Län
0,2000.0,2021,Kombi,Tvåhjulsdriven,204,Svart,2021-08-03,Skoda,Enyaq,480000,Göteborg
1,1.0,2023,Halvkombi,Tvåhjulsdriven,204,Grå,,BYD,Dolphin,319900,Göteborg
2,1.0,2023,Halvkombi,Tvåhjulsdriven,204,Gul,,BYD,Dolphin,319900,Göteborg
3,1.0,2023,Halvkombi,Tvåhjulsdriven,204,Grå,,BYD,Dolphin,319900,Göteborg
4,5658.0,2020,SUV,Tvåhjulsdriven,143,Vit,2020-12-05,Mazda,MX-30,209800,Göteborg
5,7230.0,2020,Sedan,Tvåhjulsdriven,170,Vit,2020-06-22,BMW,i3,209900,Göteborg
6,2630.0,2022,Halvkombi,Tvåhjulsdriven,184,Grå,2022-03-30,BMW,i3s,279900,Göteborg
7,,2024,Halvkombi,,204,,,Volkswagen,ID.3,512900,Göteborg
8,0.0,2023,SUV,Tvåhjulsdriven,204,Vit,2024-02-29,Volkswagen,ID.5,499900,Göteborg
9,10.0,2023,Halvkombi,Tvåhjulsdriven,207,Grå,2023-08-31,Volkswagen,ID.3,424900,Göteborg
10,2150.0,2021,Halvkombi,Tvåhjulsdriven,119,Vit,2021-08-06,Fiat,500E,219900,Göteborg
11,4244.0,2021,SUV,Fyrhjulsdriven,361,Röd,2020-12-11,Audi,E-Tron,634900,Göteborg
12,6898.0,2020,SUV,Tvåhjulsdriven,204,Svart,2020-09-03,Kia,E-Niro,299900,Göteborg
13,1362.0,2024,SUV,Fyrhjulsdriven,414,Vit,2023-03-08,Audi,Q8,979000,Göteborg
14,1.0,2024,SUV,Fyrhjulsdriven,300,Mörkröd,2024-02-29,Volkswagen,ID.4,648999,Göteborg
15,6041.0,2022,Halvkombi,Tvåhjulsdriven,111,Svart,2021-12-30,Renault,Zoe,199900,Göteborg
16,4499.0,2022,SUV,Tvåhjulsdriven,180,Vit,2021-10-21,Skoda,Enyaq iV,389800,Göteborg
17,5950.0,2022,SUV,Fyrhjulsdriven,414,Grå,2021-12-15,Audi,E-Tron,724000,Göteborg
18,1355.0,2023,SUV,Fyrhjulsdriven,304,Vit,2023-03-28,Volkswagen,ID.4,489900,Göteborg
19,3515.0,2021,Halvkombi,Tvåhjulsdriven,207,Grå,2021-03-05,Volkswagen,ID.3,289900,Göteborg
20,1100.0,2023,SUV,Fyrhjulsdriven,514,Vit,2023-09-26,Tesla,Model Y,569000,Göteborg
21,4912.0,2020,Halvkombi,Tvåhjulsdriven,136,Vit,2022-02-07,Volkswagen,Golf,197900,Göteborg
22,5296.0,2022,Kombi,Fyrhjulsdriven,346,Grå,2022-02-18,Tesla,Model Y,499900,Göteborg
23,6962.0,2020,SUV,Fyrhjulsdriven,317,Svart,2020-08-04,Audi,E-Tron,399000,Göteborg
24,6245.0,2021,Halvkombi,Tvåhjulsdriven,207,Mörkgrå,2020-11-16,Volkswagen,ID.3,289900,Göteborg
25,2651.0,2020,Halvkombi,Tvåhjulsdriven,83,Silver,2020-12-22,Skoda,Citigo,189800,Göteborg
26,3870.0,2022,SUV,Tvåhjulsdriven,218,Grön,2021-12-16,Hyundai,IONIQ 5,448900,Göteborg
27,1900.0,2021,SUV,Tvåhjulsdriven,136,Grå,2021-11-30,Peugeot,e-2008,279900,Göteborg
28,2940.0,2022,Halvkombi,Tvåhjulsdriven,150,Grå,2022-03-23,Nissan,Leaf,259900,Göteborg
29,1.0,2024,SUV,Tvåhjulsdriven,207,Vit,,Toyota,bZ4X,570900,Göteborg
30,5530.0,2020,SUV,Tvåhjulsdriven,143,Röd,2021-10-15,MG,ZS,199900,Göteborg
