,Company,Location,Year,Fuel,Miles,Gear,Price,Name,Brand,Model,Engine Volume,Horsepower
0,Företag,Stockholm,2021,Bensin,3089,Manuell,186900,Seat León Sportstourer 1.5 TSI 130 HK STYLE,Seat,León Sportstourer,1.5,130
1,Företag,Stockholm,2021,Miljöbränsle/Hybrid,8057,Automat,329900,Volvo V60 Recharge T6 Inscription Expression (SELEKT),Volvo,V60 Recharge,Unknown,Unknown
2,Företag,Stockholm,2023,El,2045,Automat,419900,Volvo C40 Recharge Single Motor Core (SELEKT),Volvo,C40 Recharge,Unknown,Unknown
3,,Östergötland,2018,Bensin,14854,Automat,189900,Mitsubishi Outlander 2.0 4WD 7-sits V-Däck ingår Drag-360kam,Mitsubishi,Outlander 2,Unknown,Unknown
4,,Örebro,2008,Bensin,30998,Manuell,39900,"Volvo V70 2.4 Classic, Momentum Euro 4",Volvo,V70 2,Unknown,Unknown
5,,Halland,2018,Bensin,9630,Manuell,144700,"Volkswagen Golf 1.0 TSI BlueMotion Carplay/Android 6,99% 110",Volkswagen,Golf 1,1.0,Unknown
6,,Halland,2015,Miljöbränsle/Hybrid,11000,Automat,259900,Lexus NX 300h 2.5 AWD E-CVT F-Sport B-Kamera Navi Drag,Lexus,NX 300h,2.5,Unknown
7,,Halland,2019,Diesel,8191,Manuell,178900,Volvo V40 Cross Country D3 PDC Bluetooth Farthållare 150hk,Volvo,V40 Cross,Unknown,150
8,,Halland,2014,Diesel,14200,Manuell,109800,Toyota Auris Touring Sports 1.4 D-4D,Toyota,Auris Touring,1.4,Unknown
9,,Halland,2020,Bensin,10845,Automat,358900,"Mercedes-Benz A 35 AMG Ränta 5,99% 4Matic Aeropkt Kamera",Mercedes-Benz,A 35,Unknown,Unknown
10,,Halland,2016,Bensin,10674,Automat,254900,"Mercedes-Benz C 200 Coupé AMG B-kamera Navi 6,99% 184hk",Mercedes-Benz,C 200,Unknown,184
11,,Halland,2020,Diesel,13159,Automat,239800,"BMW 320 Gran Turismo d GT xDrive 6,99% Sport Line Navi Drag",BMW,320 Gran,Unknown,Unknown
12,,Halland,2018,Diesel,15923,Automat,374700,"Volvo XC90 D4 AWD Inscription 6,99% Polestar Opt Pano B&W HU",Volvo,XC90 D4,4,Unknown
13,,Östergötland,2021,Bensin,8432,Automat,237900,Volkswagen Golf 1.5 V-Däck ingår Drag-Kamera-Värmare-Carplay,Volkswagen,Golf 1,Unknown,Unknown
14,,Skåne,2018,Bensin,8379,Automat,399800,Mercedes-Benz AMG C43 AMG Night Pano Sportavgas Burm 367hk,Mercedes-Benz,AMG C43,Unknown,367
16,,Västerbotten,2021,Miljöbränsle/Hybrid,4500,Automat,369000,"Mercedes-Benz CLA 250 e / AMG Night / Laddhybrid / \""Special",Mercedes-Benz,CLA 250,250,Unknown
17,,Västerbotten,2023,Bensin,415,Automat,289000,Nissan Qashqai 1.3 DIG-T/MHEV/ Aut/ ACENTA,Nissan,Qashqai 1,1.3,Unknown
18,,Västerbotten,2016,Diesel,10400,Automat,399000,Mercedes-Benz GLE 350 d 4MATIC AMG-LINE/ DRAG/ PANORAMA,Mercedes-Benz,GLE 350,Unknown,Unknown
19,,Västerbotten,2023,Miljöbränsle/Hybrid,1853,Automat,639000,Mercedes-Benz GLC 300 de Coupé 4MATIC AMG/Taklucka/V-hjul,Mercedes-Benz,GLC 300,Unknown,Unknown
20,,Kronoberg,2018,Bensin,3600,Automat,539000,Ford Mustang GT Convertible SelectShift GT Euro 6 450hk,Ford,Mustang GT,Unknown,450
21,,Kronoberg,2016,Diesel,11900,Automat,379000,Land Rover Range Rover Sport 3.0 SDV6 4WD Automat Euro 6 306,Land,Rover Range,Unknown,Unknown
22,,Kronoberg,2020,El,1590,Automat,1199000,Porsche Taycan Turbo Direct Drive/ Sport Chrono 680hk,Porsche,Taycan Turbo,Unknown,680
23,,Kronoberg,2023,El,3400,Automat,554900,Tesla Model Y Long Range AWD Drag Moms Svensksåld,Tesla,Model Y,Unknown,Unknown
24,,Kronoberg,2020,El,2590,Automat,894900,Porsche Taycan 4S Performance / Panorama / BOSE / 360view,Porsche,Taycan 4S,Unknown,Unknown
25,,Kronoberg,2018,Diesel,11400,Automat,549000,Land Rover Range Rover Sport 3.0 TDV6 Panorama Skinn Navi ka,Land,Rover Range,Unknown,Unknown
26,,Kronoberg,2021,El,4490,Automat,528900,Audi E-Tron 55 quattro Moms Vinterdäck Drag Backkamera Värma,Audi,E-Tron 55,Unknown,Unknown
27,,Kronoberg,2020,El,3700,Automat,405000,Tesla Model 3 Long Range AWD Utan Kontantinsats 4400:- i Mån,Tesla,Model 3,Unknown,Unknown
28,,Kronoberg,2017,Diesel,13499,Automat,399900,Audi Q7  Quattro 3.0 TDI TipTronic S-Line 7-sits Drag,Audi,Q7,3.0,Unknown
29,,Kronoberg,2019,Diesel,6990,Automat,439900,BMW X4 xDrive20d M Sport Auto Drag Navi,BMW,X4 xDrive20d,Unknown,Unknown
30,,Stockholm,2023,Miljöbränsle/Hybrid,2114,Automat,379900,Ford Kuga KUGA 2.5 P-HEV TITANIUM AUTOMAT,Ford,Kuga KUGA,Unknown,Unknown
31,,Stockholm,2020,Miljöbränsle/Hybrid,8800,Automat,329900,Mercedes-Benz E 300 de T PLUG-IN 306hk**INVIGNINGSKAMPANJ**,Mercedes-Benz,E 300,Unknown,306
32,,Stockholm,2023,Miljöbränsle/Hybrid,1000,Automat,309900,Ford Focus Active Kombi 125hk Aut SKI-TEAM EDITION,Ford,Focus Active,Unknown,125
37,,Stockholm,2021,Miljöbränsle/Hybrid,3400,Automat,299900,Ford Kuga KUGA TITANIUM 2.5 PLUG-IN HYBRID 225HK V-HJUL,Ford,Kuga KUGA,Unknown,225
38,,Stockholm,2021,Miljöbränsle/Hybrid,3824,Automat,299900,Ford Kuga Titanium Plug-In Hybrid E-CVT,Ford,Kuga Titanium,Unknown,Unknown
80,,Stockholm,2018,Diesel,8600,Automat,279000,Kia Stinger 2.2 CRDi 200HK AWD GT-LINE 360 SKINN HUD FULLUTR,Kia,Stinger 2,Unknown,200
81,,Göteborg,2021,Bensin,4000,Automat,199900,Ford Focus 1.0 EcoBoost 125Hk | ST-Line | Adaptiv.Fhållare,Ford,Focus 1,Unknown,Unknown
82,,Stockholm,2019,El,2459,Automat,98700,Renault Kangoo Z.E. Express 33kWh 170KM V-inredning Moms,Renault,Kangoo Z,Unknown,Unknown
83,,Västmanland,2018,Bensin,6134,Automat,169800,Hyundai i30 Wagon T-GDi 140hk Comfort En-Bruk Sensorer,Hyundai,i30 Wagon,Unknown,140
84,,Västmanland,2020,Bensin,5967,Automat,229800,Mitsubishi Eclipse Cross 4WD 163hk Onyx Taklucka 360° HUD,Mitsubishi,Eclipse Cross,Unknown,163
85,,Västmanland,2019,Diesel,9354,Automat,269800,Land Rover Range Rover Evoque AWD 180hk Luxury Pano Meridian,Land,Rover Range,Unknown,180
87,,Västmanland,2020,Bensin,8554,Automat,289800,Peugeot 5008 PureTech 130hk GT 7-sits Cockpit Kamera Drag,Peugeot,5008 PureTech,Unknown,130
88,,Stockholm,2021,Miljöbränsle/Hybrid,4449,Automat,289900,Skoda Octavia Kombi iV Style Värmare,Skoda,Octavia Kombi,Unknown,Unknown
89,,Stockholm,2017,Diesel,9095,Automat,144800,Dacia Duster 1.5 dCi 109hk Limited Black Värmare Navi Drag,Dacia,Duster 1,Unknown,109
90,,Stockholm,2017,Diesel,10188,Automat,179800,Renault Talisman Grandtour 1.6 dCi 160hk B-Kamera BOSE Drag,Renault,Talisman Grandtour,Unknown,160
91,,Stockholm,2019,Bensin,5401,Automat,209800,Kia Cee´d SW 1.4 T-GDI 140hk GT-Line B-Kamera Navi Rattvärme,Kia,Cee,Unknown,140
92,,Stockholm,2019,Bensin,3551,Manuell,128900,Opel Corsa 1.4 90hk Rattvärme Lågskatt 0.48l/mil Euro 6,Opel,Corsa 1,Unknown,90
93,,Stockholm,2014,Diesel,17898,Automat,189800,Land Rover Range Rover Evoque 2.2 TD4 AWD Meridian Skinn,Land,Rover Range,4,Unknown
94,,Stockholm,2016,Diesel,18618,Automat,199800,Volkswagen Tiguan 2.0 TDI 4M 190hk GT Active info Värm Drag,Volkswagen,Tiguan 2,2.0,190
95,,Skåne,2016,Bensin,16500,Manuell,124900,Volvo V40 T2 Momentum Drag parkeringssensorer Navi,Volvo,V40 T2,Unknown,Unknown
96,,Stockholm,2023,Bensin,2825,Automat,419900,Skoda Kodiaq Style TSi 190 DSG 4x4,Skoda,Kodiaq Style,Unknown,Unknown
97,,Dalarna,2014,Diesel,15040,Automat,169800,Audi A6 Avant 3.0 TDI V6 DPF quattro S Tronic Proline 204 hk,Audi,A6 Avant,3.0,204
98,,Dalarna,2014,Bensin,15460,Automat,269000,BMW 428 xDrive Cab M Sport l Läder l 245HK l EU6,BMW,428 xDrive,Unknown,245
99,,Dalarna,2012,Diesel,14724,Manuell,109000,BMW 118 d Keyless PDC F20 143HK,BMW,118 d,Unknown,143
100,,Dalarna,2014,Diesel,18204,Automat,159000,BMW 320 d xDrive Gran Turismo Steptronic M Sport Drag,BMW,320 d,Unknown,Unknown
101,,Skåne,2015,Bensin,7500,Automat,144900,Volkswagen Golf 5-dörrar 1.2 TSI BMT 16V Euro 5,Volkswagen,Golf 5-dörrar,1.2,Unknown
102,,Skåne,2015,Diesel,23600,Manuell,119900,Volvo V40 Cross Country D3Momentum/Panorama/Navi/Kamera/Drag,Volvo,V40 Cross,Unknown,Unknown
103,,Gävleborg,2019,Diesel,14800,,379900,Volkswagen transporter T30 2.0 TDI 150Hk 4Motion Lång,Volkswagen,transporter T30,2.0,Unknown
104,,Gävleborg,2022,Diesel,4600,Automat,299900,"Citroën C5 Aircross 1.5 BlueHDi EAT, 130hk, 2022",Citroën,C5 Aircross,Unknown,130
105,,Skåne,2015,Diesel,18466,Automat,144900,Volkswagen Passat Sportscombi 2.0 TDI Drag Kamera Värmare,Volkswagen,Passat Sportscombi,2.0,Unknown
106,,Stockholm,2014,Diesel,18000,Automat,129000,Audi A6 AVANT 2.0 TDI 177HK DPF MULTITRONIC PROLINE DRAGKROK,Audi,A6 AVANT,2.0,177
107,,Göteborg,2017,Diesel,9900,Automat,194900,Kia Optima SW GT-Line|Pano|Harman Kardon|Backkamera|141hk,Kia,Optima SW,Unknown,141
108,,Göteborg,2013,Diesel,12500,Manuell,109900,Volvo V40 D2 115Hk | Momentum | P-Assist | B-Kamera |Keyless,Volvo,V40 D2,Unknown,Unknown
109,,Älvsborg,2014,Diesel,13700,Automat,169500,Volvo V60 D4 AWD R-Design M-värmare VOC Nybes 1343kr/MÅN*,Volvo,V60 D4,4,Unknown
110,,Skaraborg,2019,Diesel,14932,Automat,226000,Volvo V90 D3 AWD Advanced Edition Momentum Voc Drag Eu6,Volvo,V90 D3,3,Unknown
111,,Skaraborg,2021,Miljöbränsle/Hybrid,3868,Automat,349500,Volvo XC40 Recharge T4 Momentum Voc Navi Keyless Drag Eu6,Volvo,XC40 Recharge,Unknown,Unknown
112,,Jönköping,2010,Diesel,24421,Automat,74900,Volkswagen Passat Variant 2.0 TDI Premium R-Line NyBes NySer,Volkswagen,Passat Variant,2.0,Unknown
113,,Göteborg,2014,Bensin,10841,Automat,259900,BMW 428 i Convertible 245hk M Sport-ratt HiFi Sensorer Skinn,BMW,428 i,Unknown,245
114,,Göteborg,2017,Diesel,5533,Automat,234800,Mercedes-Benz C 220 d 170hk Avantgarde Värmare Kamera Navi,Mercedes-Benz,C 220,Unknown,170
115,,Göteborg,2015,Bensin,6542,Manuell,94800,Renault Clio Sport Tourer 90hk Energy Navi Sensorer Välserv,Renault,Clio Sport,Unknown,90
